Date,Spread,Z_Score,Volatility,Extreme_Z,Distance_From_Mean,Spread_Normalized,Range_Position,Recent_Extreme,MR_Strength,Vol_Expansion,Speed_To_Mean,Target_Return,Target_Direction,Pair_ID,Sector
2023-05-17,-1.2169950037640973,1.853898356212559,0.8985144764387412,1,1.8538962929221596,-1.354450797650862,0.985560371359251,1,-1.8538962929221596,1.1516974990523736,-6.134252845146913,2.9253591801936025,1,AIG-CB,financials
2023-05-18,-1.1257107141687612,1.7072603161344106,0.9495008367416006,1,1.7072585180754178,-1.18558034393262,0.9999996973871796,0,-1.7072585180754178,1.1530225239913194,-1.5502747843850309,2.994954079609613,1,AIG-CB,financials
2023-05-19,-1.699522779401839,1.0003566856825756,0.938479761903514,0,1.0003556197505648,-1.8109298010059458,0.8263568099858778,0,-1.0003556197505648,1.1080183112937634,3.648685445632771,2.9262899848177994,1,AIG-CB,financials
2023-05-22,-0.819674089947128,1.685581127614561,1.0008651629758831,1,1.6855794434921578,-0.8189647330168348,0.9999997230369001,0,-1.6855794434921578,1.155684598430239,3.335606466659262,3.569073233392679,1,AIG-CB,financials
2023-05-23,1.3431518249106915,2.908331009488029,1.2244805090438515,1,2.908328634334964,1.0969147471728706,0.9999998110904785,0,-2.908328634334964,1.350842698417437,4.156197229028102,1.9068783207818498,1,AIG-CB,financials
2023-05-24,0.830557394889226,2.101772069359974,1.3396159197114417,1,2.101770500424827,0.6199961964261627,0.9031658426050566,0,-2.101770500424827,1.3972098593365296,2.8386163572031093,2.583188830310121,1,AIG-CB,financials
2023-05-25,0.8990406348276778,1.835440190172873,1.4719168254299166,1,1.8354389432009577,0.6107953985577196,0.9161029786907958,0,-1.8354389432009577,1.4361637744368145,7.176757429468902,2.8673512742929006,1,AIG-CB,financials
2023-05-26,1.3965242296380822,1.8493363112499703,1.622858177800113,1,1.8493351716955737,0.8605332173868333,0.9999998129761568,0,-1.8493351716955737,1.4666365475395722,8.710532371087648,1.9046775329457617,1,AIG-CB,financials
2023-05-30,2.005985965792185,1.8869183324577803,1.7897490676780918,1,1.886917278166253,1.120819047317944,0.999999832112612,0,-1.886917278166253,1.4857444459336506,9.435274185305776,1.3322184408817819,1,AIG-CB,financials
2023-05-31,1.3464144328511622,1.3605895730566502,1.8254598018839034,0,1.3605888277163112,0.7375750996469724,0.8892660902716407,0,-1.3605888277163112,1.3975934727528518,8.352838021489427,2.042412341895158,1,AIG-CB,financials
