Model,Accuracy,Precision,Recall,F1_Score,ROC_AUC
Ridge,0.5542619542619542,0.5706214689265536,0.5669607056936647,0.5687851971037812,0.5537739625186804
LSTM,0.5638253638253639,0.5649606299212598,0.6904570970328789,0.621436304583183,0.5802506326063381
