Date,ALB,AMCR,BALL,CF,CTVA,DD,DOW,FCX,IFF,IP,LIN,LYB,MOS,NEM,NUE,PPG,SHW,STLD
2021-01-05,0.06748341641126654,0.00703004465889312,0.009581132505659173,0.039968762621316545,0.012255270690493925,0.04920360987277839,0.03256851979089981,0.04532049274356553,0.027692852756310726,0.025778581035572845,0.015687343741866533,0.0341583096185023,0.03717783645259676,0.004433555101867048,0.02970880498985906,0.021442256595518572,-0.004989784991654478,0.0363189584466761
2021-01-06,0.07469464890722866,0.02792295271148615,0.011586802845565014,0.06563515257669561,0.05795985506037704,0.053808550555414225,0.04713260267280295,0.06309483394107662,0.04565257462372507,0.062324065276732954,0.032829660590002474,0.04797496022896963,0.061099753459980644,0.028535725450484994,0.05455893424999214,0.03179971586816466,0.003458999385348882,0.07061917786986172
2021-01-07,0.05082793628145654,-0.008488595832551127,-0.010799577492576318,0.0016396802215092876,0.017774571396568684,0.04025738475030072,0.0013688813412209289,0.033488140842917735,0.050743953530858255,-0.014572244758149555,-0.0028729838588266166,0.007233688523599513,0.03301354612874596,-0.001532985375529039,-0.014556375725980009,0.012757940772105902,0.017692145315317376,-0.019197488200778046
2021-01-08,0.0005435814060668065,-0.015411146587099855,-0.0012131530291434878,0.009118460010218987,0.03468890960709303,0.011251152812564946,-0.005127164971062359,-0.0006416543934626429,0.0029500236137161018,-0.011331047887396473,-0.0011818439205064646,-0.007387053253695264,-0.003716082570657364,-0.03607618117864586,-0.0030254511444864907,-0.016773938458014448,-0.008651239564609892,-0.009034004889605485
2021-01-11,-0.03699094080564802,0.0034782925760337147,-0.00011046950526072408,-0.001158646787290829,0.008555151333909716,0.026776182260388026,0.011166552369967553,-0.02664529672966165,0.028991472242658967,0.012043548454925723,-0.010613748382179544,0.002377420758001847,-0.0014919615387563034,-0.013377637808002718,0.013923680525691706,0.007754448041814799,0.008466216468697718,0.013167997302047985
2021-01-12,0.029387090390860182,0.007798853364139768,-0.0035336211896028757,0.061006931228778205,0.02200846058345629,0.028340020974194635,0.037036803872279256,0.022097763438692075,0.028828092854887633,0.010172926800127158,-0.0034015322448560648,0.022994313963484947,0.06313025419520679,0.008716624579157894,0.022887117773328303,0.012244997283771486,0.005742001377429196,0.04423859517839035
2021-01-13,-0.014137325605408924,-0.01719696188416675,0.009419297369823276,-0.009838329445503113,-0.010094396206498102,-0.03323308413982451,-0.016546274391351368,-0.013875631596062643,-0.035402445129301574,-0.03477115912413753,0.004163421435396275,-0.02086493568775538,-0.012649246311337348,-0.006721107664963588,-0.023924143530807962,0.004825504108640022,-0.014908912461598312,-0.0251312732154787
2021-01-14,0.013617321012051598,-0.0034992874971896404,-0.012734535451036644,0.00022083108760662107,0.0018127818938884488,-0.010540292707837184,-0.006330153450353593,0.046793257850763936,-0.013002244516246098,-0.016141750960454115,-0.015089994567990317,0.017809551235805632,0.02846976403347834,0.02029968789917147,-0.0005290802533156613,-0.001710616310334423,-0.01285481897305396,-0.008593281885203585
2021-01-15,-0.01222777744241288,-0.029850757012507723,0.005448728831620286,0.005739495442408371,-0.010404953741068534,-0.0032683460776535833,-0.039228981161472776,-0.051266072607580315,-0.018509108519478623,0.00540230263358632,-0.021237218079750986,-0.04005245892529963,-0.008996607958892455,-0.023211824402985748,-0.02134800486959121,-0.024447898513250133,0.009418858237850491,-0.029222433935006342
2021-01-19,0.02836674384273552,-0.00904990805192507,0.0,-0.012510815048983104,-0.005028588595617833,0.025746889939322504,0.004187773804469552,0.044810632487424895,0.02225614098057993,0.002586888983170166,0.003680837252373781,-0.011484767699790344,0.002444047522554671,-0.0001616819311307527,0.007391462565601525,-0.020264804177634765,8.265202035051544e-05,0.013520323215633123
2021-01-20,-0.02731439860597784,0.025570581567527118,0.02034942022712727,-0.019115460566502485,0.002986443746047396,-0.002012774905742476,0.0177237935868646,-0.023336594512619713,-0.0021604077179723236,0.012107823361662273,-0.006330993446393651,0.005968819813078063,-0.007314266153591875,0.02700077091201769,-0.0021474602666348153,-0.003378197975565489,0.014622196387264141,0.011326330380623029
2021-01-21,-0.020977938416316344,0.0017812212264665117,-0.010405177660345544,-0.015182769121615092,-0.04603763291123342,-0.03926897197174195,-0.017244398163228536,-0.030028957606448414,-0.03397720010210514,0.01313993895255261,-0.016317061624228746,-0.01864802103318408,-0.0031581327100947965,-0.0190489465068715,-0.024031579840274153,-0.007056517249633187,0.00017655983561470912,-0.03583842258138503
