Date,Equity_LSTM,Equity_Hybrid,Positions_LSTM,Positions_Hybrid
2024-01-17,1000.0,1000.0,0,0
2024-01-17,997.85,997.85,1,1
2024-01-17,997.85,997.85,1,1
2024-01-17,997.85,997.85,1,1
2024-01-17,995.7,995.7,2,2
2024-01-18,995.7,995.7,2,2
2024-01-18,993.5500000000001,993.5500000000001,3,3
2024-01-18,991.4000000000001,991.4000000000001,4,4
2024-01-18,991.4000000000001,991.4000000000001,4,4
2024-01-18,989.2500000000001,989.2500000000001,5,5
2024-01-19,989.2500000000001,989.2500000000001,5,5
2024-01-19,989.2500000000001,989.2500000000001,5,5
2024-01-19,989.2500000000001,989.2500000000001,5,5
2024-01-19,989.2500000000001,989.2500000000001,5,5
2024-01-19,989.2500000000001,989.2500000000001,5,5
2024-01-22,989.2500000000001,989.2500000000001,5,5
2024-01-22,989.2500000000001,989.2500000000001,5,5
2024-01-22,989.2500000000001,989.2500000000001,5,5
2024-01-22,989.2500000000001,989.2500000000001,5,5
2024-01-22,989.2500000000001,989.2500000000001,5,5
2024-01-23,989.2500000000001,989.2500000000001,5,5
2024-01-23,989.2500000000001,989.2500000000001,5,5
2024-01-23,989.2500000000001,989.2500000000001,5,5
2024-01-23,989.2500000000001,989.2500000000001,5,5
2024-01-23,989.2500000000001,989.2500000000001,5,5
2024-01-24,989.2500000000001,989.2500000000001,5,5
2024-01-24,989.2500000000001,989.2500000000001,5,5
2024-01-24,989.2500000000001,989.2500000000001,5,5
2024-01-24,989.2500000000001,989.2500000000001,5,5
2024-01-24,989.2500000000001,989.2500000000001,5,5
2024-01-25,989.2500000000001,989.2500000000001,5,5
2024-01-25,989.2500000000001,989.2500000000001,5,5
2024-01-25,989.2500000000001,989.2500000000001,5,5
2024-01-25,989.2500000000001,989.2500000000001,5,5
2024-01-25,989.2500000000001,989.2500000000001,5,5
2024-01-26,989.2500000000001,989.2500000000001,5,5
2024-01-26,989.2500000000001,989.2500000000001,5,5
2024-01-26,989.2500000000001,989.2500000000001,5,5
2024-01-26,989.2500000000001,989.2500000000001,5,5
2024-01-26,989.2500000000001,989.2500000000001,5,5
2024-01-29,989.2500000000001,989.2500000000001,5,5
2024-01-29,989.2500000000001,989.2500000000001,5,5
2024-01-29,989.2500000000001,989.2500000000001,5,5
2024-01-29,989.2500000000001,989.2500000000001,5,5
2024-01-29,989.2500000000001,989.2500000000001,5,5
2024-01-30,989.2500000000001,989.2500000000001,5,5
2024-01-30,989.2500000000001,989.2500000000001,5,5
2024-01-30,989.2500000000001,989.2500000000001,5,5
2024-01-30,989.2500000000001,989.2500000000001,5,5
2024-01-30,989.2500000000001,989.2500000000001,5,5
2024-01-31,974.5257569183742,974.5257569183742,3,3
2024-01-31,974.5257569183742,974.5257569183742,3,3
2024-01-31,972.3757569183742,972.3757569183742,4,4
2024-01-31,972.3757569183742,972.3757569183742,4,4
2024-01-31,972.3757569183742,972.3757569183742,4,4
2024-02-01,977.4009626182626,977.4009626182626,1,1
2024-02-01,975.1961680977147,975.1961680977147,2,2
2024-02-01,973.0461680977147,973.0461680977147,3,3
2024-02-01,973.0461680977147,973.0461680977147,3,3
2024-02-01,973.0461680977147,973.0461680977147,3,3
2024-02-02,973.0461680977147,973.0461680977147,3,3
2024-02-02,973.0461680977147,973.0461680977147,3,3
2024-02-02,973.0461680977147,973.0461680977147,3,3
2024-02-02,973.0461680977147,973.0461680977147,3,3
2024-02-02,973.0461680977147,973.0461680977147,3,3
2024-02-05,973.0461680977147,973.0461680977147,3,3
2024-02-05,970.8961680977147,970.8961680977147,4,4
2024-02-05,970.8961680977147,970.8961680977147,4,4
2024-02-05,970.8961680977147,970.8961680977147,4,4
2024-02-05,970.8961680977147,970.8961680977147,4,4
2024-02-06,970.8961680977147,970.8961680977147,4,4
2024-02-06,968.7461680977148,968.7461680977148,5,5
2024-02-06,968.7461680977148,968.7461680977148,5,5
2024-02-06,968.7461680977148,968.7461680977148,5,5
2024-02-06,968.7461680977148,968.7461680977148,5,5
2024-02-07,968.7461680977148,968.7461680977148,5,5
