Model,Total_Trades,Win_Rate,Long_WR,Short_WR
Ridge,547,0.6215722120658135,0.6283524904214559,0.6153846153846154
LSTM,436,0.6444954128440367,0.6374501992031872,0.654054054054054
Hybrid,429,0.6433566433566433,0.636734693877551,0.6521739130434783
