Model,Accuracy,Precision,Recall,F1-Score,ROC-AUC
Ridge,0.5461706783369803,0.5488505747126436,0.6513213981244672,0.5957115009746589,0.5432865983428091
LSTM,0.5544857768052517,0.54858934169279,0.7459505541346974,0.6322254335260116,0.571296926653051
