Pair_ID,Samples,Ridge_Acc,Ridge_Prec,LSTM_Acc,LSTM_Prec
AME-ITW,481,0.5384615384615384,0.5868544600938967,0.5634095634095634,0.5991902834008097
CMS-DUK,481,0.5821205821205822,0.5893536121673004,0.5966735966735967,0.59
MS-STT,481,0.5384615384615384,0.5800865800865801,0.5467775467775468,0.575091575091575
AIG-CB,481,0.5696465696465697,0.5680933852140078,0.5550935550935551,0.5448717948717948
FITB-PNC,481,0.5426195426195426,0.5345454545454545,0.5405405405405406,0.525
