Date,APA,BKR,COP,CTRA,CVX,DVN,EOG,EQT,HAL,KMI,MPC,OXY,SLB,VLO,WMB,XOM
2025-03-31,20.177101135253906,43.23990249633789,102.33221435546875,28.14628791809082,161.65184020996094,36.646270751953125,124.8351058959961,52.95231628417969,24.81264877319336,27.61511993408203,143.34548950195312,48.54302978515625,40.799354553222656,129.08323669433594,58.28093338012695,115.74576568603516
2025-04-01,20.28268814086914,44.07616424560547,102.6927490234375,28.31185531616211,162.8307342529297,36.81283950805664,125.86695861816406,53.39829635620117,24.988691329956055,27.7119140625,144.2703857421875,48.3758430480957,41.189781188964844,130.71546936035156,59.070884704589844,115.85282897949219
2025-04-02,20.38827896118164,44.19422149658203,103.38456726074219,28.23394203186035,160.85948181152344,37.15578842163086,126.51917266845703,54.13167953491211,25.135398864746094,27.99261474609375,145.51992797851562,48.513526916503906,41.180023193359375,130.59817504882812,60.07538986206055,115.49273681640625
2025-04-03,17.028629302978516,40.199825286865234,92.81226348876953,26.646451950073242,150.85830688476562,32.49171829223633,116.70680236816406,51.624298095703125,21.898115158081055,26.83109474182129,126.52066802978516,43.17340087890625,38.27135467529297,111.70532989501953,57.56899642944336,109.4197998046875
2025-04-04,14.571284294128418,34.8378791809082,84.08157348632812,24.464874267578125,138.45106506347656,28.719308853149414,107.61479187011719,45.69776153564453,19.541061401367188,24.47901725769043,119.12168884277344,39.86901092529297,33.947410583496094,102.32243347167969,53.219383239746094,101.54640197753906
2025-04-07,14.360106468200684,35.133033752441406,83.47743225097656,24.386960983276367,135.42654418945312,28.033414840698242,106.13513946533203,46.88703155517578,19.550840377807617,24.556453704833984,119.70220184326172,38.108638763427734,32.3466682434082,104.25765228271484,53.492454528808594,100.18388366699219
2025-04-08,13.467399597167969,34.434505462646484,80.54447937011719,23.958433151245117,132.3150634765625,26.259889602661133,102.17320251464844,47.065425872802734,18.836877822875977,24.40158462524414,116.64225006103516,35.512332916259766,31.18515396118164,102.80135345458984,52.98532485961914,98.07199096679688
2025-04-09,16.039932250976562,38.1239128112793,89.16797637939453,25.1953125,141.10836791992188,30.443838119506836,111.02186584472656,49.72146224975586,21.58514404296875,25.408231735229492,129.3051300048828,39.56414031982422,35.11867904663086,113.27891540527344,55.023597717285156,102.96731567382812
2025-04-10,14.014542579650879,36.067684173583984,81.1583480834961,24.05582618713379,130.43080139160156,27.190746307373047,101.8324966430664,48.05648422241211,19.824689865112305,24.96298599243164,119.57429504394531,35.86637496948242,31.761032104492188,106.54473114013672,53.707008361816406,97.25447845458984
2025-04-11,14.436898231506348,37.31716537475586,84.17901611328125,24.503828048706055,131.0588836669922,27.661073684692383,105.65815734863281,49.206111907958984,20.60711669921875,25.621177673339844,121.44371795654297,37.046512603759766,33.14703369140625,108.19651794433594,54.99433898925781,100.37853240966797
2025-04-14,14.590482711791992,37.19910430908203,84.23748016357422,24.5622615814209,130.7593231201172,28.150997161865234,104.78205108642578,49.52325439453125,20.783159255981445,25.940595626831055,122.84085845947266,37.272705078125,33.107994079589844,107.83488464355469,55.940330505371094,100.62183380126953
2025-04-15,14.292914390563965,37.5434455871582,83.52616882324219,24.65965461730957,130.005615234375,27.95503044128418,104.62629699707031,50.28636932373047,20.783159255981445,26.34712791442871,120.26303100585938,37.17436218261719,32.95182418823242,105.11775207519531,57.09112548828125,100.339599609375
2025-04-16,14.753665924072266,37.51393508911133,84.1497802734375,24.961570739746094,130.7979736328125,28.709508895874023,106.33069610595703,50.3953857421875,20.959205627441406,26.085786819458008,122.07341766357422,37.81360626220703,33.33249282836914,104.70724487304688,56.81805419921875,101.40042877197266
2025-04-17,15.463993072509766,38.28133010864258,86.7027359008789,25.175832748413086,133.223388671875,29.699153900146484,108.55083465576172,50.52421951293945,22.0350399017334,26.23097801208496,125.66468048095703,39.0527458190918,34.269508361816406,107.57099151611328,57.16914367675781,104.05732727050781
2025-04-21,14.87845230102539,37.18926239013672,85.309326171875,24.16295623779297,129.22291564941406,28.885883331298828,107.18535614013672,47.25372314453125,21.438440322875977,24.96298599243164,124.68077087402344,38.374168395996094,33.79124069213867,106.37857818603516,55.0431022644043,102.52935791015625
2025-04-22,15.473589897155762,37.74021911621094,87.4627685546875,24.425914764404297,132.672607421875,30.571218490600586,109.35636901855469,48.13576889038086,20.2452449798584,25.747011184692383,129.27561950683594,39.30844497680664,33.78147506713867,109.91671752929688,56.759544372558594,105.40038299560547
2025-04-23,15.268706321716309,35.310123443603516,87.62841796875,24.698612213134766,132.073486328125,30.453636169433594,109.6019515991211,48.31415557861328,20.1572208404541,25.747011184692383,132.1387939453125,39.1707649230957,33.21535873413086,111.91057586669922,57.03261184692383,104.49528503417969
2025-04-24,15.863844871520996,35.79220962524414,89.4505615234375,24.796005249023438,134.38296508789062,30.835777282714844,111.4586181640625,48.3835334777832,20.74403953552246,26.008352279663086,135.32664489746094,39.70182418823242,34.093814849853516,110.79635620117188,58.1346435546875,105.7215347290039
2025-04-25,15.951652526855469,35.86107635498047,89.37260437011719,24.70835304260254,134.0543975830078,30.718196868896484,111.07549285888672,49.79084014892578,20.39194679260254,25.988994598388672,135.22825622558594,39.69198989868164,33.693634033203125,111.2948226928711,57.56899642944336,105.66315460205078
2025-04-28,16.146778106689453,35.62495422363281,90.5516357421875,25.04922103881836,135.37823486328125,30.91416358947754,112.12661743164062,50.662967681884766,20.196340560913086,26.20193862915039,135.36599731445312,39.83950424194336,33.283687591552734,112.1549301147461,58.183406829833984,105.7215347290039
2025-04-29,15.844331741333008,35.339637756347656,89.52850341796875,24.84469985961914,134.6051788330078,30.669200897216797,110.9379653930664,50.76207733154297,20.059415817260742,26.337448120117188,136.08425903320312,39.68215560913086,33.2934455871582,112.90750885009766,58.19315719604492,105.45877838134766
2025-04-30,15.161386489868164,34.828041076660156,86.83914184570312,23.919477462768555,131.47439575195312,29.797138214111328,108.38383483886719,48.997989654541016,19.38457489013672,25.733732223510742,135.19874572753906,38.757713317871094,32.45403289794922,113.46461486816406,57.120384216308594,102.80186462402344
2025-05-01,15.824817657470703,35.60527420043945,88.32998657226562,24.240869522094727,131.6676483154297,30.532024383544922,109.71001434326172,49.909767150878906,19.492158889770508,25.733732223510742,135.50375366210938,39.77066421508789,32.932308197021484,112.281982421875,57.34469223022461,102.94784545898438
2025-05-02,16.058971405029297,36.500572204589844,89.07054138183594,25.000526428222656,133.8321533203125,30.80638313293457,108.90447998046875,51.38644027709961,20.14743995666504,26.252321243286133,139.27212524414062,39.93785095214844,33.89860534667969,116.24039459228516,58.514991760253906,103.3663330078125
2025-05-05,15.12236213684082,36.15623092651367,85.36779022216797,24.610958099365234,130.93325805664062,30.00290870666504,106.60575103759766,53.0415153503418,19.423696517944336,26.291461944580078,141.0234832763672,38.16764831542969,32.95182418823242,116.64112091064453,58.68077850341797,100.50505065917969
