Date,CMCSA,DIS,EA,FOXA,GOOG,GOOGL,LYV,META,MTCH,NFLX,NWSA,PSKY,T,TMUS,TTD,VZ,WBD
2021-01-05,40.44926452636719,174.33453369140625,137.58767700195312,27.591604232788086,86.39799499511719,86.35006713867188,72.0,269.09027099609375,145.9777374267578,52.08000183105469,17.47980308532715,32.88804626464844,15.6066312789917,127.38105773925781,78.85399627685547,42.67454147338867,31.520000457763672
2021-01-06,40.91865539550781,174.9988555908203,133.18704223632812,29.99514389038086,86.11859130859375,85.49799346923828,72.62000274658203,261.48345947265625,144.5402069091797,50.04899978637695,18.40734100341797,35.7420768737793,15.910656929016113,127.07190704345703,74.06099700927734,43.19178009033203,34.25
2021-01-07,40.99959182739258,174.47129821777344,137.02296447753906,28.992502212524414,88.69725799560547,88.05171203613281,73.01000213623047,266.8757629394531,148.47401428222656,50.888999938964844,17.919662475585938,35.67094039916992,15.953327178955078,128.67567443847656,76.3030014038086,43.094581604003906,34.400001525878906
2021-01-08,41.71177673339844,174.5787811279297,138.11338806152344,28.196002960205078,89.68782806396484,89.21739959716797,73.45999908447266,265.7138977050781,147.43470764160156,51.040000915527344,17.81447982788086,35.61760711669922,15.843306541442871,130.48223876953125,79.58100128173828,42.557098388671875,34.630001068115234
2021-01-11,41.695594787597656,174.96957397460938,137.49029541015625,28.4208984375,87.67839813232422,87.15597534179688,72.23999786376953,255.05831909179688,147.5415496826172,49.90999984741211,17.84316635131836,36.506717681884766,15.761421203613281,128.42445373535156,77.92900085449219,42.306758880615234,35.130001068115234
2021-01-12,40.473541259765625,171.94090270996094,135.3873748779297,27.896146774291992,86.67740631103516,86.22004699707031,73.37000274658203,249.3482208251953,149.1636505126953,49.42499923706055,17.59455108642578,37.14686584472656,15.695906639099121,124.32816314697266,80.55999755859375,42.15950012207031,35.29999923706055
2021-01-13,40.59492874145508,172.06790161132812,132.73916625976562,28.074182510375977,87.0669937133789,86.70735931396484,73.31999969482422,249.8944091796875,150.57205200195312,50.77899932861328,17.47980308532715,38.3382682800293,15.619473457336426,124.14459991455078,78.54499816894531,42.012245178222656,36.689998626708984
2021-01-14,40.12553405761719,169.43978881835938,135.27049255371094,29.30173110961914,86.36128234863281,85.89698791503906,73.33000183105469,243.93601989746094,144.77334594726562,50.08599853515625,17.87185287475586,40.89889907836914,15.990713119506836,120.4637451171875,77.52999877929688,41.997520446777344,37.25
2021-01-15,39.405242919921875,167.49559020996094,135.32894897460938,29.50787925720215,86.16325378417969,85.73323059082031,71.56999969482422,249.61634826660156,146.5216827392578,49.79800033569336,17.881418228149414,40.27651596069336,15.925198554992676,122.96595001220703,78.53600311279297,42.247859954833984,36.7599983215332
2021-01-19,39.53474044799805,168.29672241210938,137.6947479248047,28.12104034423828,88.87641143798828,88.55441284179688,76.54000091552734,259.288818359375,141.94683837890625,50.176998138427734,17.929227828979492,38.898399353027344,15.805095672607422,125.44883728027344,78.06199645996094,42.0048942565918,36.150001525878906
2021-01-20,39.55900955200195,169.64495849609375,141.75460815429688,29.067466735839844,93.64266967773438,93.2985610961914,73.7300033569336,265.6245422363281,143.39407348632812,58.63399887084961,18.273468017578125,38.5516471862793,15.810558319091797,127.8158187866211,81.0989990234375,42.15950012207031,36.439998626708984
2021-01-21,39.7613410949707,167.33924865722656,142.11485290527344,29.086204528808594,93.8585433959961,93.50102996826172,74.58999633789062,270.9771423339844,140.3441619873047,57.98400115966797,18.369091033935547,40.107582092285156,15.739582061767578,125.98018646240234,81.3030014038086,42.1668701171875,36.880001068115234
2021-01-22,39.39715576171875,168.80474853515625,142.14405822753906,28.261598587036133,94.34489440917969,93.91836547851562,72.27999877929688,272.5957946777344,136.95431518554688,56.516998291015625,17.757104873657227,40.52547073364258,15.794173240661621,125.94155883789062,81.2959976196289,42.314117431640625,37.4900016784668
2021-01-25,39.63186264038086,167.9352264404297,142.4361572265625,30.070114135742188,94.26300811767578,94.00372314453125,69.20999908447266,276.0815124511719,135.41966247558594,55.678001403808594,17.929227828979492,42.41926574707031,15.89244270324707,126.656494140625,78.55899810791016,43.01359176635742,39.0
2021-01-26,40.53828048706055,165.65882873535156,142.4361572265625,32.731353759765625,95.14836883544922,94.6821060180664,68.69999694824219,280.0934753417969,134.44834899902344,56.19300079345703,18.302156448364258,46.16240692138672,16.24184799194336,126.95598602294922,77.62899780273438,41.6514778137207,40.720001220703125
2021-01-27,39.18674087524414,159.27908325195312,142.36798095703125,32.215972900390625,90.8580551147461,90.26497650146484,68.5199966430664,270.252197265625,127.77545166015625,52.327999114990234,18.72289276123047,49.789955139160156,15.90882682800293,119.09186553955078,75.62999725341797,40.59122848510742,43.869998931884766
2021-01-28,41.760337829589844,167.9254608154297,139.2330322265625,29.892074584960938,92.4620132446289,91.96514129638672,69.18000030517578,263.1617736816406,137.45941162109375,53.86000061035156,18.65595817565918,44.997684478759766,15.723198890686035,123.4393539428711,79.4520034790039,40.767940521240234,41.02000045776367
2021-01-29,40.1174430847168,164.30081176757812,139.4180145263672,29.21739387512207,91.10372161865234,90.68281555175781,66.44999694824219,256.5379943847656,135.84703063964844,53.23899841308594,18.55077362060547,43.12165451049805,15.630390167236328,121.80663299560547,76.5989990234375,40.31143569946289,41.41999816894531
2021-02-01,40.58683395385742,167.03639221191406,142.01748657226562,29.873332977294922,94.35978698730469,93.94368743896484,67.55999755859375,260.19244384765625,141.76229858398438,53.90399932861328,18.52208709716797,46.526939392089844,15.641313552856445,124.06730651855469,79.32099914550781,39.965370178222656,42.119998931884766
