Date,ADM,CAG,CL,COST,CPB,DG,DLTR,EL,GIS,HRL,K,KDP,KHC,KMB,KO,KR,MDLZ,MNST,MO,PEP,PG,PM,SYY,TAP,TGT,TSN,WMT
2021-01-05,44.22789764404297,28.38884735107422,75.13260650634766,355.515869140625,40.58984375,191.20510864257812,107.12999725341797,240.90634155273438,49.023155212402344,39.01166534423828,48.577293395996094,27.796911239624023,26.609439849853516,111.21073913574219,44.8929557800293,28.675174713134766,51.125885009765625,45.709999084472656,27.60849380493164,124.02137756347656,122.39002227783203,64.68566131591797,63.52385711669922,40.90712356567383,156.99066162109375,54.53680419921875,45.3915901184082
2021-01-06,46.019989013671875,28.524560928344727,73.11473846435547,350.103759765625,39.768070220947266,199.14077758789062,112.97000122070312,240.45030212402344,48.898719787597656,39.250213623046875,48.200008392333984,27.902332305908203,26.902719497680664,110.6277847290039,43.464786529541016,28.95383071899414,51.02888870239258,45.349998474121094,28.055540084838867,122.50431823730469,123.6783218383789,64.77203369140625,66.34345245361328,42.865447998046875,164.43240356445312,56.17850112915039,45.67500305175781
2021-01-07,45.611106872558594,26.967802047729492,72.71472930908203,348.11676025390625,39.50038146972656,201.3697967529297,114.75,240.38514709472656,48.497005462646484,38.952022552490234,47.86199951171875,28.070049285888672,26.70852279663086,109.59510803222656,42.98298263549805,28.603260040283203,50.931884765625,46.75,28.299375534057617,122.11004638671875,122.52239990234375,65.14889526367188,66.37857055664062,42.77840805053711,166.32986450195312,55.53385925292969,45.67188262939453
2021-01-08,45.732887268066406,27.199321746826172,73.2036361694336,350.02801513671875,39.199241638183594,199.60325622558594,112.97000122070312,242.67477416992188,47.19985580444336,38.922035217285156,47.31963348388672,28.2465877532959,26.64907455444336,109.72836303710938,43.946571350097656,28.432466506958008,51.31105422973633,47.494998931884766,28.170682907104492,123.57569122314453,122.46941375732422,65.23523712158203,68.0997314453125,43.08302688598633,168.50579833984375,55.03533172607422,45.66566467285156
2021-01-11,45.271827697753906,26.424930572509766,73.01696014404297,344.417236328125,38.50492858886719,199.0945281982422,112.43000030517578,240.23617553710938,46.5052490234375,38.05691909790039,46.66721725463867,27.681659698486328,26.038724899291992,109.47020721435547,43.18947219848633,28.549325942993164,50.341087341308594,46.470001220703125,28.008121490478516,121.78434753417969,121.63998413085938,64.62285614013672,68.0997314453125,43.23970031738281,169.968017578125,55.67137145996094,45.87120819091797
2021-01-12,44.71506118774414,26.273252487182617,73.12361907958984,344.5970458984375,38.05321502685547,201.980224609375,114.18000030517578,237.72320556640625,45.5009880065918,37.7485466003418,46.03053665161133,27.681659698486328,25.50765037536621,108.5291519165039,43.11203384399414,28.333587646484375,50.54390335083008,46.994998931884766,27.723642349243164,121.21867370605469,120.93404388427734,63.64931869506836,68.81980895996094,45.12839126586914,173.29287719726562,55.01814270019531,46.394412994384766
2021-01-13,45.03694152832031,26.648469924926758,73.32808685302734,347.19903564453125,38.00301742553711,201.83224487304688,112.47000122070312,238.8865966796875,46.35460662841797,37.69715881347656,46.48643112182617,27.946468353271484,25.37289810180664,109.65342712402344,43.15505599975586,28.75607681274414,50.587989807128906,45.935001373291016,27.832015991210938,122.21290588378906,121.1193618774414,63.75923538208008,66.86155700683594,45.511348724365234,171.3084259033203,55.086891174316406,45.9210319519043
2021-01-14,45.993873596191406,27.183347702026367,72.83916473388672,342.84661865234375,38.3710823059082,197.2262420654297,109.97000122070312,232.70643615722656,46.655887603759766,37.66290283203125,46.415687561035156,27.840545654296875,25.428382873535156,109.57012939453125,42.35492706298828,29.789825439453125,50.53507995605469,45.68000030517578,27.84555435180664,121.50152587890625,119.83104705810547,63.735687255859375,66.30834197998047,46.564491271972656,172.3441619873047,55.66278076171875,45.77155303955078
2021-01-15,45.41101837158203,27.031667709350586,72.78585052490234,342.6668701171875,38.831172943115234,195.56143188476562,108.33999633789062,231.87808227539062,47.065948486328125,38.43379592895508,46.39997100830078,28.123008728027344,25.35704231262207,109.33695220947266,41.898948669433594,30.293209075927734,50.455726623535156,45.82500076293945,27.906524658203125,121.18436431884766,118.93096160888672,63.547237396240234,66.36101531982422,45.728939056396484,169.55029296875,55.65419006347656,45.0459098815918
2021-01-19,46.193965911865234,26.848054885864258,71.87022399902344,335.39068603515625,38.797706604003906,190.58546447753906,108.05000305175781,231.23583984375,46.588932037353516,38.33102035522461,45.95191955566406,28.08770179748535,25.650327682495117,109.63676452636719,41.735477447509766,30.221302032470703,50.38517379760742,45.040000915527344,27.926847457885742,121.75863647460938,117.88975524902344,64.30094909667969,65.74630737304688,45.285057067871094,163.77093505859375,54.9235954284668,44.65660858154297
2021-01-20,46.54193878173828,26.951831817626953,71.29242706298828,341.85308837890625,38.51329803466797,189.71603393554688,107.54000091552734,237.5463409423828,46.312767028808594,38.31389236450195,45.307369232177734,28.20245361328125,26.046659469604492,109.42022705078125,41.88172912597656,29.726896286010742,50.34990310668945,44.80500030517578,28.516132354736328,121.13296508789062,116.41612243652344,64.14392852783203,67.63430786132812,44.510433197021484,163.89279174804688,56.94347381591797,45.31686019897461
2021-01-21,45.924278259277344,27.19133758544922,70.47460174560547,343.2723693847656,38.998470306396484,192.12075805664062,107.79000091552734,237.59286499023438,46.27092742919922,38.75929641723633,45.50387954711914,27.840545654296875,25.98324203491211,109.103759765625,42.11403274536133,29.852750778198242,49.48575973510742,44.599998474121094,28.407751083374023,119.65875244140625,116.30162048339844,63.85344696044922,67.46747589111328,44.08395767211914,166.47781372070312,56.64263916015625,45.111305236816406
