Date,AEP,AES,CMS,CNP,D,DUK,ED,EIX,ES,ETR,EXC,FE,NEE,NI,NRG,PCG,PEG,PPL,SO,SRE,VST,XEL
2021-01-05,67.8065414428711,19.979656219482422,50.22753143310547,18.95524787902832,58.59515380859375,73.77751922607422,58.40126419067383,48.064849853515625,70.28944396972656,40.20751953125,24.56415367126465,24.270225524902344,65.79578399658203,19.004566192626953,31.797645568847656,12.238104820251465,47.14118957519531,22.775253295898438,49.45334243774414,52.616180419921875,17.824296951293945,55.48005676269531
2021-01-06,68.34779357910156,20.778173446655273,51.23979949951172,19.289186477661133,59.84734344482422,74.7310791015625,59.646690368652344,49.49550247192383,73.60075378417969,40.84368896484375,25.36483383178711,24.64436149597168,69.0164794921875,19.426513671875,32.151817321777344,12.238104820251465,48.13069152832031,23.187705993652344,50.6617431640625,52.78671646118164,18.24697494506836,56.70875930786133
2021-01-07,66.52417755126953,20.570228576660156,49.71281433105469,18.34889030456543,58.56304168701172,73.89263153076172,58.434696197509766,49.044952392578125,73.12183380126953,39.434139251708984,25.113874435424805,24.09941864013672,69.77326202392578,18.675443649291992,32.30730056762695,12.168906211853027,47.44564437866211,22.882492065429688,50.60380554199219,51.11968231201172,18.14805030822754,55.599510192871094
2021-01-08,65.93296813964844,21.144163131713867,49.4811897277832,18.199499130249023,58.75570297241211,74.0241470336914,58.45140838623047,49.2425537109375,74.59169006347656,39.70440673828125,25.221426010131836,24.327159881591797,71.39241790771484,18.405391693115234,33.69806671142578,12.099708557128906,48.468997955322266,22.940231323242188,50.95970153808594,51.068519592285156,18.876489639282227,56.111480712890625
2021-01-11,65.59989166259766,21.17743492126465,49.00937271118164,18.269804000854492,58.330284118652344,73.3993911743164,57.4483757019043,48.744598388671875,73.66683959960938,39.247032165527344,25.012296676635742,24.563032150268555,70.12525177001953,18.46446990966797,34.31138229370117,12.070052146911621,48.18989562988281,22.907238006591797,50.6617431640625,50.48441696166992,19.038362503051758,54.951019287109375
2021-01-12,64.81715393066406,21.64323616027832,48.35740280151367,18.190710067749023,57.415218353271484,73.10346984863281,56.771339416503906,49.408546447753906,73.8980484008789,38.544342041015625,25.143753051757812,24.79889678955078,70.17806243896484,18.456031799316406,35.26160430908203,12.040396690368652,48.50281524658203,23.055721282958984,48.683616638183594,50.30961227416992,19.389095306396484,54.09774398803711
2021-01-13,65.07527923583984,22.358577728271484,49.55840301513672,18.29616355895996,57.98512268066406,75.26541900634766,58.18393325805664,49.953922271728516,74.45130920410156,38.93934631347656,25.573965072631836,25.04290008544922,72.0172119140625,18.574172973632812,35.762630462646484,11.961313247680664,49.62764358520508,23.171199798583984,49.42024230957031,51.65261459350586,19.604930877685547,55.47152328491211
2021-01-14,65.64153289794922,22.832700729370117,49.60130310058594,18.322532653808594,57.005863189697266,75.34761047363281,57.22269821166992,48.712982177734375,73.96411895751953,39.084861755371094,25.44251251220703,25.41703987121582,72.6243896484375,18.447595596313477,34.760581970214844,11.69440746307373,48.86648178100586,23.270185470581055,48.86569595336914,52.24099349975586,19.182254791259766,54.23427200317383
2021-01-15,67.00714111328125,22.957469940185547,50.28757095336914,18.858579635620117,57.8567008972168,75.717529296875,58.175575256347656,48.902687072753906,73.1383285522461,39.604618072509766,25.90857696533203,25.758644104003906,72.19319152832031,19.350561141967773,35.26160430908203,12.099708557128906,50.21965026855469,23.567148208618164,49.378849029541016,52.08323669433594,19.344131469726562,55.42886734008789
2021-01-19,67.20699310302734,23.340091705322266,49.97016906738281,19.06070327758789,56.95771026611328,74.29541015625,58.075279235839844,48.112266540527344,71.95748138427734,39.550559997558594,25.585912704467773,25.303171157836914,72.87078094482422,18.953929901123047,35.61576843261719,11.892115592956543,49.204769134521484,23.212448120117188,50.53760528564453,51.79332733154297,19.52399253845215,55.21553421020508
2021-01-20,67.24028778076172,23.30682373046875,50.35620880126953,18.876161575317383,57.45536804199219,74.62421417236328,58.459774017333984,47.5985107421875,72.3538589477539,39.384254455566406,25.723346710205078,25.482107162475586,73.96194458007812,18.886415481567383,35.0802001953125,12.099708557128906,50.118167877197266,23.072216033935547,50.198246002197266,52.385948181152344,19.26319694519043,55.82990264892578
2021-01-21,67.42350769042969,22.691299438476562,49.85007095336914,19.06070327758789,57.63195037841797,74.13101196289062,57.799442291259766,46.895042419433594,71.94923400878906,38.947654724121094,25.70541763305664,25.270639419555664,73.66275787353516,18.49822425842285,35.3047981262207,11.852574348449707,49.348548889160156,22.898984909057617,49.560951232910156,52.172767639160156,19.056352615356445,55.55684280395508
2021-01-22,68.34779357910156,22.54157257080078,50.107425689697266,18.841007232666016,58.0252571105957,74.22142028808594,57.53196716308594,46.87133026123047,72.18043518066406,39.07239532470703,25.418611526489258,25.433307647705078,74.10273742675781,18.506662368774414,35.87492370605469,11.585668563842773,49.35700988769531,22.9484806060791,49.7761344909668,51.7805290222168,19.191242218017578,55.25820541381836
2021-01-25,68.77245330810547,21.817914962768555,51.05964279174805,19.043123245239258,59.04465866088867,76.37515258789062,59.044864654541016,46.950374603271484,74.55866241455078,39.39672088623047,25.902605056762695,25.91318130493164,76.44348907470703,18.658565521240234,36.220455169677734,11.219908714294434,49.49232864379883,23.187705993652344,50.504493713378906,53.7076530456543,18.750587463378906,56.7429084777832
