Date,AMT,ARE,BXP,CBRE,CCI,CSGP,DLR,DOC,EQR,EXR,HST,INVH,IRM,KIM,O,PLD,REG,SPG,UDR,VICI,VTR,WELL,WY
2021-01-05,190.5794677734375,138.80870056152344,69.8790054321289,59.41999816894531,123.43807220458984,89.37999725341797,111.8292236328125,22.362539291381836,47.18062210083008,89.9187240600586,11.530658721923828,24.8927059173584,23.40364646911621,11.630233764648438,45.30607986450195,83.61842346191406,36.248863220214844,63.75548553466797,30.416929244995117,19.24117088317871,39.97904586791992,54.22007751464844,27.07465171813965
2021-01-06,185.55401611328125,132.83619689941406,70.91063690185547,60.61000061035156,120.12223052978516,89.66999816894531,111.11431884765625,22.447097778320312,48.47074890136719,89.77832794189453,12.19191837310791,24.95272445678711,23.346921920776367,12.251697540283203,44.9220085144043,81.63642883300781,37.31259536743164,65.21195983886719,31.549604415893555,19.287410736083984,40.762779235839844,56.512786865234375,27.213619232177734
2021-01-07,187.80767822265625,134.5368194580078,70.00311279296875,61.5,120.93135833740234,90.5479965209961,112.37592315673828,21.847488403320312,47.883583068847656,89.99304962158203,12.13405704498291,24.815532684326172,23.128129959106445,12.308194160461426,44.35719680786133,82.86214447021484,36.829833984375,65.2579574584961,31.053543090820312,19.187231063842773,39.97904586791992,55.392677307128906,27.4752254486084
2021-01-08,191.86602783203125,135.00062561035156,69.8402328491211,62.63999938964844,122.20850372314453,91.9520034790039,112.36751556396484,21.978172302246094,48.18130111694336,92.53665924072266,12.167119026184082,25.14995002746582,23.1362247467041,12.461540222167969,44.98979568481445,83.9748306274414,37.22258758544922,66.30048370361328,31.203805923461914,19.78057861328125,39.726219177246094,54.850128173828125,27.287200927734375
2021-01-11,185.5798797607422,134.07302856445312,69.4911880493164,62.2400016784668,121.41529083251953,90.43699645996094,110.40782165527344,21.885921478271484,48.00761795043945,91.95857238769531,11.877819061279297,24.909852981567383,22.690519332885742,12.283980369567871,44.74879455566406,82.28838348388672,36.01975631713867,63.73249053955078,30.928327560424805,19.526287078857422,38.93405532836914,53.537513732910156,27.058303833007812
2021-01-12,185.57125854492188,133.45460510253906,70.94166564941406,63.040000915527344,119.35279846191406,88.22899627685547,110.60966491699219,21.993547439575195,48.42112731933594,92.41278839111328,12.059667587280273,24.635454177856445,22.739139556884766,12.509967803955078,43.53632736206055,82.33185577392578,36.6170768737793,65.48792266845703,31.32901382446289,19.4415225982666,39.35541915893555,53.458744049072266,26.73949432373047
2021-01-13,186.90965270996094,137.43359375,71.43032836914062,61.810001373291016,121.12175750732422,89.18699645996094,111.98902893066406,22.6315975189209,49.26467514038086,92.3797607421875,12.19191837310791,24.549711227416992,23.047082901000977,12.848944664001465,43.513736724853516,82.94039154052734,37.942665100097656,68.12491607666016,31.930063247680664,19.472347259521484,40.535247802734375,55.83897018432617,26.289878845214844
2021-01-14,185.6403350830078,136.4327392578125,73.33843994140625,62.2599983215332,122.7637710571289,86.8280029296875,112.2413558959961,22.946779251098633,49.94282913208008,91.07490539550781,12.406824111938477,24.824100494384766,24.46524429321289,13.228279113769531,43.5513801574707,83.01860046386719,38.50726318359375,72.78565979003906,32.33073806762695,19.51087188720703,40.84705352783203,55.620208740234375,26.706796646118164
2021-01-15,189.8714141845703,137.00230407714844,73.8038330078125,63.52000045776367,124.73898315429688,85.37200164794922,114.78981018066406,23.031335830688477,50.935218811035156,92.64401245117188,12.142322540283203,25.372894287109375,24.327482223510742,13.292847633361816,44.168922424316406,84.91368103027344,38.515438079833984,71.29084777832031,32.90673065185547,19.387584686279297,41.2768440246582,56.22400665283203,26.58417320251465
2021-01-19,187.27230834960938,135.4888458251953,72.36112213134766,63.61000061035156,126.43655395507812,87.1969985961914,116.05982208251953,22.408666610717773,49.87665557861328,92.21458435058594,12.200182914733887,25.244272232055664,23.922290802001953,13.34127426147461,43.78483963012695,85.20056915283203,38.409053802490234,71.03788757324219,32.289005279541016,19.549400329589844,40.257144927978516,53.379981994628906,26.7313175201416
2021-01-20,192.36688232421875,139.16673278808594,72.57054901123047,64.9000015258789,126.1747817993164,89.97699737548828,118.35594940185547,23.18508529663086,51.00138854980469,94.81602478027344,12.357231140136719,25.75018310546875,24.554386138916016,13.591471672058105,44.41743087768555,87.22605895996094,39.415523529052734,73.04629516601562,32.94847869873047,20.319974899291992,41.066165924072266,54.368831634521484,27.417997360229492
2021-01-21,191.86602783203125,139.66314697265625,71.34502410888672,64.98999786376953,126.3968505859375,91.19599914550781,118.7764892578125,23.00827980041504,51.11716842651367,94.7169189453125,12.100996017456055,25.8016357421875,24.530071258544922,13.38162612915039,44.50028610229492,87.30428314208984,38.33542251586914,72.44835662841797,32.78152084350586,20.22750473022461,40.93975067138672,54.12381362915039,27.254507064819336
2021-01-22,193.3512420654297,137.38475036621094,70.81755828857422,66.0199966430664,126.0637435913086,89.6050033569336,118.13727569580078,23.200464248657227,50.9104118347168,95.3115463256836,11.919149398803711,25.741607666015625,24.432828903198242,13.446196556091309,45.065093994140625,87.99102783203125,38.40088653564453,73.19956970214844,32.6479606628418,20.335386276245117,41.40325927734375,55.19142150878906,27.148225784301758
2021-01-25,196.45118713378906,137.90554809570312,70.80204772949219,65.12000274658203,127.62642669677734,90.9260025024414,119.96243286132812,23.36189842224121,51.00138854980469,95.75748443603516,11.481066703796387,25.44148826599121,26.021163940429688,13.752893447875977,45.471778869628906,89.27759552001953,39.03093338012695,74.7250747680664,32.564476013183594,20.22750473022461,40.37512969970703,54.7451171875,27.385290145874023
