Date,ALB,AMCR,BALL,CF,CTVA,DD,DOW,FCX,IFF,IP,LIN,LYB,MOS,NEM,NUE,PPG,SHW,STLD
2021-01-05,153.5630340576172,9.330914497375488,85.1330337524414,35.93101119995117,36.730045318603516,28.042360305786133,42.50882339477539,26.552013397216797,94.45326232910156,37.94972229003906,245.32928466796875,65.65483093261719,22.10772705078125,54.16732406616211,50.0181884765625,130.8102569580078,229.50828552246094,35.0457649230957
2021-01-06,165.0333709716797,9.591461181640625,86.11945343017578,38.28934860229492,38.85891342163086,29.551279067993164,44.51237487792969,28.22730827331543,98.76529693603516,40.314903259277344,253.38336181640625,68.80461883544922,23.45850372314453,55.71302795410156,52.747127532958984,134.96998596191406,230.30215454101562,37.520668029785156
2021-01-07,173.4216766357422,9.510043144226074,85.18939971923828,38.35213088989258,39.54961395263672,30.740936279296875,44.573307037353516,29.172588348388672,103.77703857421875,39.72742462158203,252.6553955078125,69.30233001708984,24.232952117919922,55.627620697021484,51.97932052612305,136.69192504882812,234.37669372558594,36.80036544799805
2021-01-08,173.5159454345703,9.363482475280762,85.08605194091797,38.70184326171875,40.921546936035156,31.086807250976562,44.34477233886719,29.15386962890625,104.08318328857422,39.27727127075195,252.35679626464844,68.79039001464844,24.142900466918945,53.62078857421875,51.822059631347656,134.39906311035156,232.3490447998047,36.46791076660156
2021-01-11,167.09742736816406,9.396051406860352,85.07665252685547,38.65700149536133,41.271636962890625,31.919193267822266,44.83995056152344,28.377056121826172,107.1007080078125,39.750308990478516,249.6783447265625,68.95393371582031,24.10688018798828,52.90346908569336,52.54361343383789,135.44125366210938,234.316162109375,36.9481201171875
2021-01-12,172.0079345703125,9.469329833984375,84.7760238647461,41.01534652709961,42.179962158203125,32.82378387451172,46.50067901611328,29.004125595092773,110.18821716308594,40.154685974121094,248.8290557861328,70.53948211669922,25.628753662109375,53.36460876464844,53.746185302734375,137.0997314453125,235.66160583496094,38.5826530456543
2021-01-13,169.57620239257812,9.306486129760742,85.57455444335938,40.61182403564453,41.754180908203125,31.732948303222656,45.731266021728516,28.601675033569336,106.28728485107422,38.758460998535156,249.8650360107422,69.06768035888672,25.304569244384766,53.00593948364258,52.46035385131836,137.7613067626953,232.1481475830078,37.61302185058594
2021-01-14,171.8853759765625,9.273920059204102,84.48480224609375,40.620792388916016,41.829872131347656,31.398473739624023,45.44178009033203,29.940040588378906,104.90531158447266,38.13283157348633,246.09457397460938,70.29774475097656,26.02498435974121,54.08194351196289,52.43259811401367,137.52565002441406,229.16392517089844,37.28980255126953
2021-01-15,169.78359985351562,8.997086524963379,84.94513702392578,40.85393524169922,41.39463424682617,31.295852661132812,43.65914535522461,28.405132293701172,102.96360778808594,38.338836669921875,240.8682098388672,67.48214721679688,25.790847778320312,52.826602935791016,51.31326675415039,134.16343688964844,231.3223876953125,36.200103759765625
2021-01-19,174.5998077392578,8.915663719177246,84.94513702392578,40.34281921386719,41.18647766113281,32.10162353515625,43.84197998046875,29.6779842376709,105.25518035888672,38.43801498413086,241.7548065185547,66.7071304321289,25.8538818359375,52.81806182861328,51.69254684448242,131.44464111328125,231.3415069580078,36.68954086303711
2021-01-20,169.83071899414062,9.14364242553711,86.67372131347656,39.57164764404297,41.309478759765625,32.037010192871094,44.61902618408203,28.985401153564453,105.02778625488281,38.90341567993164,240.22425842285156,67.10529327392578,25.664779663085938,54.24419021606445,51.581539154052734,131.00059509277344,234.72422790527344,37.105098724365234
2021-01-21,166.2680206298828,9.159929275512695,85.77186584472656,38.97084045410156,39.40768814086914,30.778949737548828,43.8495979309082,28.114999771118164,101.45923614501953,39.41460418701172,236.30450439453125,65.85391235351562,25.58372688293457,53.21089553833008,50.34195327758789,130.07618713378906,234.7656707763672,35.77531051635742
2021-01-22,163.72325134277344,9.029654502868652,85.24577331542969,38.917049407958984,39.79561996459961,30.820751190185547,43.803897857666016,28.536163330078125,101.29302978515625,39.39171600341797,234.6992950439453,65.04336547851562,25.511686325073242,52.732662200927734,50.67498016357422,124.90142059326172,233.4330291748047,35.738372802734375
2021-01-25,166.74868774414062,8.9319486618042,84.41905212402344,38.979820251464844,39.076541900634766,30.919572830200195,43.59820556640625,27.1229248046875,101.74783325195312,39.544315338134766,236.2298583984375,63.97685623168945,25.8178653717041,52.63873291015625,50.4344596862793,127.4208755493164,234.105712890625,35.49827575683594
2021-01-26,165.29725646972656,9.127360343933105,83.4232406616211,37.64372253417969,37.35451889038086,30.34184455871582,42.463111877441406,25.279163360595703,99.51750183105469,39.406978607177734,238.7777099609375,62.49082946777344,24.656192779541016,52.50209045410156,48.84334182739258,127.79240417480469,230.7134552001953,33.808311462402344
2021-01-27,159.14266967773438,9.005227088928223,80.1633529663086,36.6573486328125,36.6070556640625,29.608293533325195,41.43467712402344,24.137344360351562,97.03350830078125,38.468528747558594,226.70114135742188,61.189693450927734,24.03483772277832,50.290313720703125,47.4835090637207,126.83180236816406,228.76861572265625,32.58009338378906
2021-01-28,156.80520629882812,9.102932929992676,82.91592407226562,37.84100341796875,38.12091064453125,30.832149505615234,41.42705535888672,26.00918197631836,100.60205841064453,38.26252746582031,232.88873291015625,62.03579330444336,24.503108978271484,51.00764465332031,46.55845260620117,126.09770965576172,227.018310546875,32.469276428222656
2021-01-29,153.3085479736328,8.907523155212402,82.69046020507812,37.10570526123047,37.714054107666016,30.19742202758789,39.53776931762695,25.18557357788086,98.2929916381836,38.384605407714844,229.02496337890625,60.976375579833984,23.377458572387695,50.89662551879883,45.07834243774414,122.08292388916016,220.56211853027344,31.647390365600586
