Date,ABNB,AMZN,APTV,BBY,CCL,CMG,DASH,DECK,DHI,EBAY,EXPE,F,GM,HD,HLT,LEN,LKQ,LOW,LULU,LVS,MAR,MCD,MGM,NCLH,NKE,ORLY,PHM,RCL,ROST,SBUX,TJX,TPR,TSCO,TSLA,WSM,WYNN,YUM
2021-01-05,148.3000030517578,160.92550659179688,133.38999938964844,81.58454895019531,20.600000381469727,27.10219955444336,144.42999267578125,48.996665954589844,63.18869400024414,47.679927825927734,136.04190063476562,6.563198566436768,40.194908142089844,235.54232788085938,106.61332702636719,66.39155578613281,31.59099578857422,146.7728271484375,366.5,56.75485610961914,121.60128784179688,188.6615753173828,30.34105682373047,24.239999771118164,131.51759338378906,30.0853328704834,39.114051818847656,71.2971420288086,110.81053924560547,92.42456817626953,61.95378494262695,28.724567413330078,25.93198585510254,245.0366668701172,47.344512939453125,107.10343170166016,96.41392517089844
2021-01-06,142.77000427246094,156.91900634765625,138.11000061035156,85.55068969726562,20.399999618530273,26.868200302124023,140.00999450683594,52.061668395996094,62.655845642089844,48.77043533325195,142.2716064453125,6.707362651824951,41.468482971191406,236.8880615234375,109.39842224121094,66.01326751708984,33.3056526184082,148.7338104248047,363.25,55.89551544189453,124.7838134765625,188.23333740234375,31.160545349121094,24.329999923706055,132.56056213378906,31.011999130249023,38.90452194213867,70.95318603515625,115.65265655517578,93.09469604492188,64.67448425292969,30.314483642578125,26.886768341064453,251.9933319091797,48.594486236572266,107.74493408203125,96.94232940673828
2021-01-07,151.27000427246094,158.10800170898438,144.8000030517578,87.00466918945312,20.739999771118164,27.36280059814453,152.77000427246094,52.810001373291016,65.35809326171875,48.623817443847656,141.150634765625,6.8742876052856445,41.79652786254883,235.728271484375,111.88721466064453,68.17496490478516,34.24827194213867,149.31753540039062,367.2900085449219,55.523136138916016,125.70966339111328,189.1076202392578,30.58090591430664,24.65999984741211,134.98178100585938,31.32666778564453,40.46641540527344,72.70246124267578,115.39730834960938,92.34413146972656,64.90662384033203,30.80029296875,27.117172241210938,272.0133361816406,49.339927673339844,106.6757583618164,96.20440673828125
2021-01-08,149.77000427246094,159.13499450683594,145.55999755859375,86.8915786743164,20.469999313354492,28.048799514770508,156.08999633789062,52.404998779296875,63.71201705932617,49.925086975097656,142.86679077148438,6.828761577606201,41.54567337036133,238.23370361328125,112.7464370727539,66.10332489013672,34.463722229003906,150.5397491455078,365.4599914550781,55.303524017333984,125.0731430053711,192.577880859375,31.340435028076172,24.43000030517578,136.28550720214844,31.8613338470459,39.55213928222656,71.70989227294922,115.76614379882812,94.41706085205078,65.2037582397461,30.234989166259766,27.520832061767578,293.3399963378906,49.03992462158203,105.9759292602539,97.61648559570312
2021-01-11,148.1300048828125,155.7104949951172,145.0800018310547,89.48450469970703,20.139999389648438,28.052400588989258,167.0,54.48666763305664,64.75865936279297,49.42108154296875,141.81527709960938,7.056386470794678,43.427085876464844,240.1283416748047,111.77857971191406,68.34610748291016,34.077701568603516,151.6981201171875,361.6600036621094,53.86173629760742,124.07979583740234,191.11485290527344,30.770788192749023,24.139999389648438,136.93739318847656,32.255332946777344,40.0759391784668,70.87457275390625,114.30974578857422,93.46099853515625,63.48591995239258,30.526477813720703,27.55585289001465,270.39666748046875,50.53535461425781,105.00394439697266,98.0902328491211
2021-01-12,160.8000030517578,156.04150390625,151.08999633789062,92.65904235839844,20.1299991607666,28.032800674438477,191.99000549316406,55.436668395996094,65.1107177734375,51.35466766357422,139.82138061523438,7.420588970184326,46.13827133178711,244.64353942871094,110.93910217285156,68.98561096191406,35.74747848510742,154.13333129882812,356.92999267578125,54.06224822998047,122.8550033569336,188.7686004638672,30.271102905273438,24.520000457763672,135.0749053955078,33.026668548583984,40.628318786621094,71.2185287475586,114.58399200439453,91.8705825805664,63.513763427734375,31.215442657470703,27.97057342529297,283.14666748046875,53.74892044067383,106.91875457763672,98.0902328491211
2021-01-13,169.99000549316406,158.29449462890625,146.05999755859375,91.45545959472656,20.100000381469727,27.899999618530273,198.0,54.05666732788086,65.38665008544922,51.052249908447266,139.48410034179688,7.420588970184326,47.016265869140625,242.62496948242188,110.48480987548828,68.76043701171875,35.33451461791992,154.89950561523438,352.1400146484375,52.80187225341797,122.00634002685547,189.20570373535156,30.021255493164062,24.610000610351562,133.20315551757812,32.18733215332031,40.5330810546875,71.00232696533203,112.69254302978516,91.93312072753906,63.263038635253906,30.05832862854004,28.234148025512695,284.8033447265625,54.51255416870117,104.87757110595703,97.61648559570312
2021-01-14,180.5,156.37350463867188,144.22000122070312,92.0208969116211,20.920000076293945,28.236000061035156,207.24000549316406,53.97666549682617,65.6816177368164,50.6490478515625,143.01559448242188,7.716500282287598,49.71780014038086,237.5697021484375,110.72183227539062,67.5624771118164,35.074180603027344,155.4102783203125,347.7300109863281,53.16471481323242,124.34017944335938,186.00308227539062,30.261106491088867,26.420000076293945,131.58277893066406,31.433332443237305,40.39973449707031,74.53033447265625,110.71598815917969,90.97706604003906,63.16091537475586,30.084829330444336,28.83502960205078,281.6666564941406,56.87613296508789,105.94676208496094,98.19043731689453
2021-01-15,169.27000427246094,155.21249389648438,142.75,92.08552551269531,20.790000915527344,28.11479949951172,187.14999389648438,54.33333206176758,65.99560546875,50.78650665283203,139.56346130371094,7.458526134490967,48.2126579284668,243.98838806152344,107.06764221191406,68.98561096191406,33.978946685791016,156.27676391601562,344.5,51.02590560913086,122.28604125976562,187.260986328125,29.78140640258789,25.3799991607666,131.0426788330078,31.112667083740234,40.666412353515625,71.66075134277344,110.62139129638672,91.4327621459961,63.56947326660156,29.69618034362793,29.02672576904297,275.38665771484375,56.7534065246582,103.25435638427734,97.13363647460938
2021-01-19,173.69000244140625,156.03799438476562,142.57000732421875,90.16303253173828,20.8700008392334,28.589599609375,198.75,53.849998474121094,67.85102081298828,52.21607208251953,141.67640686035156,7.602689743041992,52.91138458251953,241.8636016845703,106.59358978271484,70.47179412841797,33.350555419921875,156.29505920410156,342.25,51.99028396606445,122.3438949584961,186.52943420410156,30.510950088500977,25.299999237060547,129.69241333007812,30.929332733154297,41.914024353027344,72.21109008789062,107.7936782836914,91.62039184570312,62.38092041015625,29.448867797851562,29.02119255065918,281.51666259765625,56.812503814697266,104.16802978515625,97.83515167236328
